firm,level,amount,medianPercent,diffMedian
AB3,125e3,0.2,0.25,-0.04999999999999999
PT13,125e3,0.36,0.25,0.10999999999999999
AB7,125e3,0.26,0.25,0.010000000000000009
TL5,125e3,0.2,0.25,-0.04999999999999999
AT6,125e3,0,0.25,-0.25
PR3,125e3,0,0.25,-0.25
PR2,125e3,0.25,0.25,0
AT3,125e3,0.29,0.25,0.03999999999999998
TL14,125e3,0.31,0.25,0.06
PR1,125e3,0,0.25,-0.25
PB1,125e3,0.05,0.25,-0.2
PB6,125e3,0.25,0.25,0
AL3,125e3,0,0.25,-0.25
AT2,125e3,0.2,0.25,-0.04999999999999999
AR3,125e3,0.33,0.25,0.08000000000000002
PB3,125e3,0.2,0.25,-0.04999999999999999
PR4,125e3,0.38,0.25,0.13
AB2,125e3,0.3,0.25,0.04999999999999999
AT1,125e3,0,0.25,-0.25
TB5,125e3,0,0.25,-0.25
AT5,125e3,0,0.25,-0.25
TB7,125e3,0.4,0.25,0.15000000000000002
PB9,125e3,0.4,0.25,0.15000000000000002
W,125e3,0.28,0.25,0.030000000000000027
GR1,15e4,0.22,0.25,-0.03
PT10,15e4,0.39,0.25,0.14
TL13,15e4,0.32,0.25,0.07
PT5,15e4,0.33,0.25,0.08000000000000002
PB7,15e4,0.1,0.25,-0.15
PT11,15e4,0.32,0.25,0.07
AR2,15e4,0.2,0.25,-0.04999999999999999
TR7,15e4,0.3,0.25,0.04999999999999999
TR2,15e4,0.2,0.25,-0.04999999999999999
AR6,15e4,0.4,0.25,0.15000000000000002
TR8,15e4,0.18,0.25,-0.07
AB5,15e4,0.3,0.25,0.04999999999999999
PB14,15e4,0.3,0.25,0.04999999999999999
AR7,15e4,0.25,0.25,0
TB6,15e4,0.2,0.25,-0.04999999999999999
TL9,15e4,0.2,0.25,-0.04999999999999999
PB8,15e4,0.2,0.25,-0.04999999999999999
PT3,15e4,0,0.25,-0.25
TT7,15e4,0.29,0.25,0.03999999999999998
GB1,15e4,0.15,0.25,-0.1
GT1,15e4,0.19,0.25,-0.06
GL1,15e4,0.25,0.25,0
TL7,15e4,0.36,0.25,0.10999999999999999
AB6,15e4,0.35,0.25,0.09999999999999998
AB4,15e4,0.35,0.25,0.09999999999999998
PT12,15e4,0.29,0.25,0.03999999999999998
AT7,15e4,0.19,0.25,-0.06
AB3,15e4,0.2,0.25,-0.04999999999999999
PT13,15e4,0.36,0.25,0.10999999999999999
AB7,15e4,0.26,0.25,0.010000000000000009
TL5,15e4,0.25,0.25,0
AT6,15e4,0,0.25,-0.25
PR3,15e4,0,0.25,-0.25
PR2,15e4,0.25,0.25,0
AT3,15e4,0.29,0.25,0.03999999999999998
TL14,15e4,0.31,0.25,0.06
PR1,15e4,0,0.25,-0.25
PB1,15e4,0.1,0.25,-0.15
PB6,15e4,0.28,0.25,0.030000000000000027
AL3,15e4,0,0.25,-0.25
AT2,15e4,0.2,0.25,-0.04999999999999999
AR3,15e4,0.33,0.25,0.08000000000000002
PB3,15e4,0.2,0.25,-0.04999999999999999
PR4,15e4,0.38,0.25,0.13
AB2,15e4,0.3,0.25,0.04999999999999999
AT1,15e4,0.04,0.25,-0.21
TB5,15e4,0,0.25,-0.25
AT5,15e4,0,0.25,-0.25
TB7,15e4,0.4,0.25,0.15000000000000002
PB9,15e4,0.4,0.25,0.15000000000000002
W,15e4,0.28,0.25,0.030000000000000027
GR1,175e3,0.22,0.25,-0.03
PT10,175e3,0.39,0.25,0.14
TL13,175e3,0.32,0.25,0.07
PT5,175e3,0.36,0.25,0.10999999999999999
PB7,175e3,0.1,0.25,-0.15
PT11,175e3,0.32,0.25,0.07
AR2,175e3,0.2,0.25,-0.04999999999999999
TR7,175e3,0.3,0.25,0.04999999999999999
TR2,175e3,0.2,0.25,-0.04999999999999999
AR6,175e3,0.4,0.25,0.15000000000000002
TR8,175e3,0.18,0.25,-0.07
AB5,175e3,0.35,0.25,0.09999999999999998
PB14,175e3,0.3,0.25,0.04999999999999999
AR7,175e3,0.25,0.25,0
TB6,175e3,0.2,0.25,-0.04999999999999999
TL9,175e3,0.2,0.25,-0.04999999999999999
PB8,175e3,0.2,0.25,-0.04999999999999999
PT3,175e3,0,0.25,-0.25
TT7,175e3,0.29,0.25,0.03999999999999998
GB1,175e3,0.15,0.25,-0.1
GT1,175e3,0.19,0.25,-0.06
GL1,175e3,0.25,0.25,0
TL7,175e3,0.36,0.25,0.10999999999999999
AB6,175e3,0.35,0.25,0.09999999999999998
AB4,175e3,0.35,0.25,0.09999999999999998
PT12,175e3,0.29,0.25,0.03999999999999998
AT7,175e3,0.19,0.25,-0.06
AB3,175e3,0.2,0.25,-0.04999999999999999
PT13,175e3,0.36,0.25,0.10999999999999999
AB7,175e3,0.26,0.25,0.010000000000000009
TL5,175e3,0.25,0.25,0
AT6,175e3,0.16,0.25,-0.09
PR3,175e3,0,0.25,-0.25
PR2,175e3,0.25,0.25,0
AT3,175e3,0.29,0.25,0.03999999999999998
TL14,175e3,0.31,0.25,0.06
PR1,175e3,0.15,0.25,-0.1
PB1,175e3,0.1,0.25,-0.15
PB6,175e3,0.28,0.25,0.030000000000000027
AL3,175e3,0,0.25,-0.25
AT2,175e3,0.2,0.25,-0.04999999999999999
AR3,175e3,0.33,0.25,0.08000000000000002
PB3,175e3,0.2,0.25,-0.04999999999999999
PR4,175e3,0.38,0.25,0.13
AB2,175e3,0.3,0.25,0.04999999999999999
